image_id,annotator_id,emotion
1,4,neutral
1,6,sad
1,13,sad
1,14,sad
1,22,sad
1,24,neutral
1,26,neutral
1,27,neutral
1,28,neutral
1,30,neutral
1,31,neutral
1,32,neutral
1,33,neutral
1,34,neutral
1,35,sad
1,36,sad
1,37,neutral
1,39,sad
1,40,neutral
1,41,neutral
1,42,neutral
1,43,neutral
1,44,sad
1,45,sad
1,46,sad
1,47,neutral
1,48,sad
1,49,neutral
1,50,neutral
1,51,neutral
1,52,sad
1,53,neutral
1,54,sad
1,55,sad
1,56,sad
1,57,neutral
1,58,neutral
1,59,neutral
1,60,neutral
1,61,sad
1,63,sad
1,65,neutral
1,66,neutral
1,67,neutral
1,68,neutral
1,69,neutral
1,70,sad
1,71,neutral
1,72,angry
1,73,sad
1,74,neutral
1,76,neutral
2,4,neutral
2,6,neutral
2,13,sad
2,17,neutral
2,21,neutral
2,22,surprise
2,24,sad
2,26,neutral
2,28,disgust
2,30,neutral
2,31,neutral
2,32,neutral
2,33,neutral
2,34,surprise
2,35,neutral
2,36,neutral
2,37,neutral
2,39,neutral
2,40,neutral
2,41,neutral
2,42,surprise
2,43,surprise
2,44,fear
2,45,neutral
2,46,neutral
2,47,neutral
2,48,neutral
2,49,neutral
2,50,neutral
2,51,sad
2,52,disgust
2,53,neutral
2,54,sad
2,55,surprise
2,56,disgust
2,57,neutral
2,58,surprise
2,59,neutral
2,60,neutral
2,61,neutral
2,63,neutral
2,65,neutral
2,66,neutral
2,67,angry
2,68,surprise
2,70,sad
2,71,neutral
2,72,happy
2,73,surprise
2,74,neutral
2,75,disgust
2,76,neutral
3,4,neutral
3,6,neutral
3,13,neutral
3,22,neutral
3,24,neutral
3,26,neutral
3,27,neutral
3,30,neutral
3,31,neutral
3,32,neutral
3,33,surprise
3,34,surprise
3,35,neutral
3,36,neutral
3,37,surprise
3,39,surprise
3,40,neutral
3,41,neutral
3,42,surprise
3,43,surprise
3,44,neutral
3,45,surprise
3,46,neutral
3,47,neutral
3,48,neutral
3,49,neutral
3,50,surprise
3,51,neutral
3,52,neutral
3,53,neutral
3,54,surprise
3,55,neutral
3,56,neutral
3,57,surprise
3,58,surprise
3,59,neutral
3,60,neutral
3,61,neutral
3,63,neutral
3,64,surprise
3,65,neutral
3,66,neutral
3,67,happy
3,70,surprise
3,71,neutral
3,72,angry
3,73,surprise
3,74,neutral
3,75,fear
4,3,neutral
4,4,neutral
4,6,neutral
4,13,sad
4,15,neutral
4,20,sad
4,22,neutral
4,24,neutral
4,26,disgust
4,28,neutral
4,30,neutral
4,31,neutral
4,32,neutral
4,33,neutral
4,34,neutral
4,35,neutral
4,36,neutral
4,37,sad
4,38,sad
4,39,sad
4,40,neutral
4,41,neutral
4,43,surprise
4,44,sad
4,45,neutral
4,46,neutral
4,47,neutral
4,48,neutral
4,49,neutral
4,50,neutral
4,51,neutral
4,52,neutral
4,53,surprise
4,54,sad
4,55,neutral
4,56,neutral
4,57,sad
4,58,neutral
4,59,neutral
4,60,disgust
4,61,sad
4,63,sad
4,64,neutral
4,65,disgust
4,66,sad
4,70,surprise
4,71,sad
4,72,fear
4,73,sad
4,74,neutral
4,76,sad
5,4,sad
5,6,sad
5,8,sad
5,11,fear
5,13,sad
5,14,neutral
5,22,sad
5,24,sad
5,26,disgust
5,30,neutral
5,31,neutral
5,32,disgust
5,33,neutral
5,34,disgust
5,35,angry
5,36,sad
5,37,sad
5,39,sad
5,40,neutral
5,41,neutral
5,42,fear
5,43,surprise
5,44,sad
5,45,neutral
5,46,sad
5,47,neutral
5,48,sad
5,49,angry
5,50,neutral
5,51,disgust
5,52,sad
5,53,sad
5,54,sad
5,55,sad
5,56,fear
5,57,sad
5,58,neutral
5,59,neutral
5,60,sad
5,61,sad
5,63,neutral
5,65,angry
5,66,neutral
5,68,sad
5,70,sad
5,71,sad
5,72,angry
5,73,angry
5,74,neutral
5,76,neutral
6,4,neutral
6,6,neutral
6,9,surprise
6,10,neutral
6,13,fear
6,17,surprise
6,22,surprise
6,24,neutral
6,25,neutral
6,26,angry
6,28,surprise
6,31,neutral
6,32,neutral
