image_id,angry,disgust,fear,happy,neutral,sad,surprise
1,0.019230769,0,0,0,0.615384615,0.365384615,0
2,0.019230769,0.076923077,0.019230769,0.019230769,0.615384615,0.096153846,0.153846154
3,0.020408163,0,0.020408163,0.020408163,0.653061224,0,0.285714286
4,0,0.058823529,0.019607843,0,0.588235294,0.274509804,0.058823529
5,0.1,0.08,0.06,0,0.3,0.44,0.02
6,0.153846154,0.057692308,0.057692308,0.019230769,0.538461538,0,0.173076923
7,0.14,0.32,0.02,0,0.26,0.02,0.24
8,0.24,0.02,0.02,0,0.38,0,0.34
9,0.113207547,0.075471698,0.056603774,0,0.735849057,0,0.018867925
10,0,0,0,0.770833333,0.208333333,0.020833333,0
11,0.098039216,0.019607843,0.039215686,0,0.352941176,0.019607843,0.470588235
12,0.098039216,0.098039216,0.058823529,0,0.490196078,0.058823529,0.196078431
13,0.063829787,0.021276596,0,0.063829787,0.638297872,0.191489362,0.021276596
14,0.1875,0.145833333,0.020833333,0.125,0.416666667,0.020833333,0.083333333
15,0.046511628,0.046511628,0.023255814,0,0.813953488,0,0.069767442
16,0.0625,0,0.104166667,0,0.416666667,0,0.416666667
17,0.191489362,0.042553191,0.063829787,0,0.234042553,0,0.468085106
18,0.42,0.04,0.02,0,0.52,0,0
19,0.085106383,0,0.021276596,0.170212766,0.680851064,0.042553191,0
20,0.230769231,0.173076923,0.115384615,0.038461538,0.384615385,0,0.057692308
21,0.76,0.02,0,0,0.12,0,0.1
22,0,0,0,0.956521739,0.043478261,0,0
23,0.326530612,0.244897959,0.102040816,0,0.102040816,0.183673469,0.040816327
24,0.183673469,0.020408163,0.020408163,0,0.12244898,0,0.653061224
25,0.02,0.06,0,0.08,0.74,0.1,0
26,0.204081633,0,0.183673469,0,0.326530612,0,0.285714286
27,0.111111111,0.022222222,0.022222222,0,0.444444444,0,0.4
28,0,0.043478261,0,0.891304348,0.043478261,0.02173913,0
29,0.041666667,0.166666667,0.0625,0.020833333,0.645833333,0,0.0625
30,0.108695652,0.130434783,0.02173913,0,0.630434783,0,0.108695652
31,0.08,0.12,0.02,0,0.3,0.08,0.4
32,0.022222222,0.022222222,0.044444444,0.022222222,0.733333333,0.111111111,0.044444444
33,0,0,0,0.980392157,0.019607843,0,0
34,0.142857143,0.653061224,0,0.020408163,0.081632653,0.040816327,0.06122449
35,0.391304348,0.130434783,0.02173913,0.02173913,0.391304348,0.02173913,0.02173913
36,0.125,0.145833333,0.041666667,0,0.291666667,0.395833333,0
37,0.040816327,0.081632653,0.040816327,0.367346939,0.142857143,0.306122449,0.020408163
38,0.519230769,0.115384615,0.038461538,0.019230769,0.134615385,0.173076923,0
39,0.08,0.14,0.04,0,0.1,0.62,0.02
40,0.06122449,0.06122449,0.081632653,0,0.204081633,0.591836735,0
41,0.458333333,0.104166667,0.0625,0,0.166666667,0.125,0.083333333
42,0.155555556,0.111111111,0,0,0.511111111,0.177777778,0.044444444
43,0.085106383,0.085106383,0.063829787,0,0.382978723,0.340425532,0.042553191
44,0.152173913,0.217391304,0.086956522,0,0.130434783,0.260869565,0.152173913
45,0.083333333,0.104166667,0.083333333,0,0.395833333,0.291666667,0.041666667
46,0.042553191,0.106382979,0.021276596,0.021276596,0.70212766,0.021276596,0.085106383
47,0.266666667,0.2,0.022222222,0,0.4,0.088888889,0.022222222
48,0.081632653,0.040816327,0.020408163,0.06122449,0.673469388,0.040816327,0.081632653
49,0,0.104166667,0,0,0.270833333,0.625,0
50,0.361702128,0.170212766,0.042553191,0,0.319148936,0.063829787,0.042553191
51,0.042553191,0.042553191,0.063829787,0.106382979,0.659574468,0.063829787,0.021276596
52,0,0,0,1,0,0,0
53,0.02173913,0.326086957,0,0.608695652,0.02173913,0,0.02173913
54,0.29787234,0.042553191,0.042553191,0.021276596,0.468085106,0.021276596,0.106382979
55,0.063829787,0.042553191,0,0.085106383,0.723404255,0,0.085106383
56,0,0,0.022727273,0.295454545,0.5,0,0.181818182
57,0,0.020833333,0,0.6875,0.229166667,0,0.0625
58,0,0,0,1,0,0,0
59,0,0,0,0.97826087,0.02173913,0,0
60,0.041666667,0,0.125,0.041666667,0.583333333,0.020833333,0.1875
61,0.021276596,0.085106383,0.063829787,0.085106383,0.468085106,0.106382979,0.170212766
62,0.02173913,0.02173913,0.02173913,0.195652174,0.673913043,0,0.065217391
63,0,0,0,0.733333333,0.266666667,0,0
64,0.020408163,0.081632653,0.387755102,0.020408163,0.142857143,0,0.346938776
65,0,0.0625,0.083333333,0.020833333,0.229166667,0.020833333,0.583333333
66,0.020833333,0.083333333,0.020833333,0.0625,0.75,0.020833333,0.041666667
67,0.058823529,0.117647059,0,0.137254902,0.588235294,0.019607843,0.078431373
68,0.063829787,0.085106383,0.021276596,0.212765957,0.553191489,0.021276596,0.042553191
69,0.14,0.08,0,0,0.74,0,0.04
70,0.021276596,0.021276596,0,0.021276596,0.829787234,0.063829787,0.042553191
71,0.076923077,0.134615385,0,0,0.538461538,0.211538462,0.038461538
72,0.02173913,0,0,0,0.586956522,0,0.391304348
73,0.040816327,0.06122449,0.020408163,0,0.591836735,0.06122449,0.224489796
74,0,0.020833333,0,0.583333333,0.333333333,0.020833333,0.041666667
75,0,0,0,0.956521739,0.02173913,0,0.02173913
76,0,0.023255814,0,0.046511628,0.488372093,0,0.441860465
77,0.020833333,0.020833333,0,0.020833333,0.208333333,0,0.729166667
78,0.02,0.04,0,0.62,0.28,0,0.04
79,0,0.142857143,0.020408163,0.040816327,0.673469388,0.020408163,0.102040816
80,0.574468085,0.021276596,0.085106383,0.042553191,0.063829787,0,0.212765957
81,0.288461538,0.153846154,0.057692308,0,0.403846154,0.038461538,0.057692308
82,0,0,0,0.956521739,0,0,0.043478261
83,0.063829787,0.510638298,0.042553191,0.085106383,0.063829787,0,0.234042553
84,0.066666667,0.066666667,0.022222222,0,0.044444444,0,0.8
85,0.595744681,0.191489362,0.021276596,0,0.021276596,0.021276596,0.14893617
86,0.081632653,0.285714286,0.040816327,0,0.428571429,0.12244898,0.040816327
87,0.022727273,0.272727273,0.022727273,0,0.431818182,0.204545455,0.045454545
88,0.183673469,0.06122449,0.020408163,0,0.653061224,0.040816327,0.040816327
89,0.0625,0.333333333,0.104166667,0,0.208333333,0.270833333,0.020833333
90,0.130434783,0.108695652,0.065217391,0.02173913,0.282608696,0.391304348,0
91,0.14893617,0.191489362,0.085106383,0,0.255319149,0.29787234,0.021276596
92,0,0,0,0.869565217,0.086956522,0,0.043478261
93,0.255813953,0.093023256,0.023255814,0,0.441860465,0.162790698,0.023255814
94,0.043478261,0.065217391,0.02173913,0,0.608695652,0.065217391,0.195652174
95,0.354166667,0.083333333,0.104166667,0,0.145833333,0,0.3125
96,0.239130435,0.02173913,0.152173913,0,0.130434783,0.02173913,0.434782609
97,0.102040816,0.12244898,0.020408163,0,0.612244898,0,0.142857143
98,0.142857143,0.12244898,0.06122449,0,0.612244898,0,0.06122449
99,0.276595745,0.14893617,0,0.021276596,0.319148936,0,0.234042553
100,0.066666667,0,0.066666667,0.022222222,0.422222222,0,0.422222222
101,0.127659574,0.085106383,0.106382979,0.042553191,0.042553191,0,0.595744681
102,0.045454545,0.045454545,0.022727273,0,0.727272727,0.022727273,0.136363636
103,0,0,0,1,0,0,0
104,0,0,0,1,0,0,0
105,0.021276596,0,0,0.957446809,0,0,0.021276596
106,0.29787234,0.29787234,0.042553191,0,0.255319149,0.042553191,0.063829787
107,0.040816327,0.06122449,0.040816327,0.020408163,0.571428571,0.102040816,0.163265306
108,0.24,0.1,0.04,0.04,0.36,0,0.22
109,0.063829787,0.170212766,0,0,0.659574468,0.063829787,0.042553191
110,0.020408163,0.040816327,0.040816327,0.020408163,0.408163265,0.102040816,0.367346939
111,0.046511628,0.11627907,0,0,0.674418605,0.069767442,0.093023256
112,0.488888889,0.111111111,0,0,0.266666667,0,0.133333333
113,0.130434783,0.152173913,0,0.043478261,0.608695652,0.065217391,0
114,0,0,0,1,0,0,0
115,0.111111111,0.022222222,0,0.333333333,0.266666667,0,0.266666667
116,0,0.041666667,0.166666667,0,0.416666667,0.0625,0.3125
117,0.0625,0.208333333,0.041666667,0,0.5,0.1875,0
118,0,0,0,0.680851064,0.319148936,0,0
119,0.041666667,0.020833333,0.166666667,0,0.520833333,0.083333333,0.166666667
120,0.041666667,0.0625,0.020833333,0.0625,0.770833333,0.020833333,0.020833333
121,0.042553191,0.063829787,0.063829787,0.021276596,0.787234043,0,0.021276596
122,0.170212766,0.276595745,0.042553191,0,0.127659574,0.276595745,0.106382979
123,0,0.022727273,0.068181818,0,0.227272727,0,0.681818182
124,0.022222222,0.022222222,0,0.044444444,0.444444444,0,0.466666667
125,0.02173913,0.043478261,0.065217391,0,0.543478261,0.043478261,0.282608696
