image_id,angry,disgust,fear,happy,neutral,sad,surprise,dominant_emotion
1,1,0,0,0,32,19,0,neutral
2,1,4,1,1,32,5,8,neutral
3,1,0,1,1,32,0,14,neutral
4,0,3,1,0,30,14,3,neutral
5,5,4,3,0,15,22,1,sad
6,8,3,3,1,28,0,9,neutral
7,7,16,1,0,13,1,12,disgust
8,12,1,1,0,19,0,17,neutral
9,6,4,3,0,39,0,1,neutral
10,0,0,0,37,10,1,0,happy
11,5,1,2,0,18,1,24,surprise
12,5,5,3,0,25,3,10,neutral
13,3,1,0,3,30,9,1,neutral
14,9,7,1,6,20,1,4,neutral
15,2,2,1,0,35,0,3,neutral
16,3,0,5,0,20,0,20,neutral
17,9,2,3,0,11,0,22,surprise
18,21,2,1,0,26,0,0,neutral
19,4,0,1,8,32,2,0,neutral
20,12,9,6,2,20,0,3,neutral
21,38,1,0,0,6,0,5,angry
22,0,0,0,44,2,0,0,happy
23,16,12,5,0,5,9,2,angry
24,9,1,1,0,6,0,32,surprise
25,1,3,0,4,37,5,0,neutral
26,10,0,9,0,16,0,14,neutral
27,5,1,1,0,20,0,18,neutral
28,0,2,0,41,2,1,0,happy
29,2,8,3,1,31,0,3,neutral
30,5,6,1,0,29,0,5,neutral
31,4,6,1,0,15,4,20,surprise
32,1,1,2,1,33,5,2,neutral
33,0,0,0,50,1,0,0,happy
34,7,32,0,1,4,2,3,disgust
35,18,6,1,1,18,1,1,angry
36,6,7,2,0,14,19,0,sad
37,2,4,2,18,7,15,1,happy
38,27,6,2,1,7,9,0,angry
39,4,7,2,0,5,31,1,sad
40,3,3,4,0,10,29,0,sad
41,22,5,3,0,8,6,4,angry
42,7,5,0,0,23,8,2,neutral
43,4,4,3,0,18,16,2,neutral
44,7,10,4,0,6,12,7,sad
45,4,5,4,0,19,14,2,neutral
46,2,5,1,1,33,1,4,neutral
47,12,9,1,0,18,4,1,neutral
48,4,2,1,3,33,2,4,neutral
49,0,5,0,0,13,30,0,sad
50,17,8,2,0,15,3,2,angry
51,2,2,3,5,31,3,1,neutral
52,0,0,0,48,0,0,0,happy
53,1,15,0,28,1,0,1,happy
54,14,2,2,1,22,1,5,neutral
55,3,2,0,4,34,0,4,neutral
56,0,0,1,13,22,0,8,neutral
57,0,1,0,33,11,0,3,happy
58,0,0,0,50,0,0,0,happy
59,0,0,0,45,1,0,0,happy
60,2,0,6,2,28,1,9,neutral
61,1,4,3,4,22,5,8,neutral
62,1,1,1,9,31,0,3,neutral
63,0,0,0,33,12,0,0,happy
64,1,4,19,1,7,0,17,fear
65,0,3,4,1,11,1,28,surprise
66,1,4,1,3,36,1,2,neutral
67,3,6,0,7,30,1,4,neutral
68,3,4,1,10,26,1,2,neutral
69,7,4,0,0,37,0,2,neutral
70,1,1,0,1,39,3,2,neutral
71,4,7,0,0,28,11,2,neutral
72,1,0,0,0,27,0,18,neutral
73,2,3,1,0,29,3,11,neutral
74,0,1,0,28,16,1,2,happy
75,0,0,0,44,1,0,1,happy
76,0,1,0,2,21,0,19,neutral
77,1,1,0,1,10,0,35,surprise
78,1,2,0,31,14,0,2,happy
79,0,7,1,2,33,1,5,neutral
80,27,1,4,2,3,0,10,angry
81,15,8,3,0,21,2,3,neutral
82,0,0,0,44,0,0,2,happy
83,3,24,2,4,3,0,11,disgust
84,3,3,1,0,2,0,36,surprise
85,28,9,1,0,1,1,7,angry
86,4,14,2,0,21,6,2,neutral
87,1,12,1,0,19,9,2,neutral
88,9,3,1,0,32,2,2,neutral
89,3,16,5,0,10,13,1,disgust
90,6,5,3,1,13,18,0,sad
91,7,9,4,0,12,14,1,sad
92,0,0,0,40,4,0,2,happy
93,11,4,1,0,19,7,1,neutral
94,2,3,1,0,28,3,9,neutral
95,17,4,5,0,7,0,15,angry
96,11,1,7,0,6,1,20,surprise
97,5,6,1,0,30,0,7,neutral
98,7,6,3,0,30,0,3,neutral
99,13,7,0,1,15,0,11,neutral
100,3,0,3,1,19,0,19,neutral
101,6,4,5,2,2,0,28,surprise
102,2,2,1,0,32,1,6,neutral
103,0,0,0,44,0,0,0,happy
104,0,0,0,45,0,0,0,happy
105,1,0,0,45,0,0,1,happy
106,14,14,2,0,12,2,3,angry
107,2,3,2,1,28,5,8,neutral
108,12,5,2,2,18,0,11,neutral
109,3,8,0,0,31,3,2,neutral
110,1,2,2,1,20,5,18,neutral
111,2,5,0,0,29,3,4,neutral
112,22,5,0,0,12,0,6,angry
113,6,7,0,2,28,3,0,neutral
114,0,0,0,46,0,0,0,happy
115,5,1,0,15,12,0,12,happy
116,0,2,8,0,20,3,15,neutral
117,3,10,2,0,24,9,0,neutral
118,0,0,0,32,15,0,0,happy
119,2,1,8,0,25,4,8,neutral
120,2,3,1,3,37,1,1,neutral
121,2,3,3,1,37,0,1,neutral
122,8,13,2,0,6,13,5,disgust
123,0,1,3,0,10,0,30,surprise
124,1,1,0,2,20,0,21,surprise
125,1,2,3,0,25,2,13,neutral
