frame_num,roi_num,person_classified,person_actual,person_score
frame_0012,frame_0012_00,interviewee,interviewee,0.896216947
frame_0013,frame_0013_00,interviewer,interviewer,0.76117244
frame_0013,frame_0013_01,interviewee,interviewee,0.910707691
frame_0014,frame_0014_00,interviewer,interviewer,0.93611697
frame_0015,frame_0015_00,interviewer,interviewer,0.854520998
frame_0016,frame_0016_00,interviewer,interviewer,0.852207676
frame_0017,frame_0017_00,interviewer,interviewer,0.886074598
frame_0018,frame_0018_00,interviewer,interviewer,0.901027911
frame_0019,frame_0019_00,interviewee,interviewee,0.721279659
frame_0020,frame_0020_00,interviewee,interviewee,0.889025079
frame_0021,frame_0021_00,interviewee,interviewee,0.96237187
frame_0022,frame_0022_00,interviewee,interviewee,0.733663049
frame_0023,frame_0023_00,interviewee,interviewee,0.748270343
frame_0024,frame_0024_00,interviewee,interviewee,0.813646802
frame_0025,frame_0025_00,interviewee,interviewee,0.685705764
frame_0026,frame_0026_00,interviewee,interviewee,0.760523607
frame_0027,frame_0027_00,interviewee,interviewee,0.961122617
frame_0028,frame_0028_00,interviewee,interviewee,0.685124841
frame_0029,frame_0029_00,interviewee,interviewee,0.842751144
frame_0030,frame_0030_00,interviewee,interviewee,0.723838957
frame_0031,frame_0031_00,interviewee,interviewee,0.762496504
frame_0032,frame_0032_00,interviewee,interviewee,0.806412579
frame_0033,frame_0033_00,interviewee,interviewee,0.717839166
frame_0034,frame_0034_00,interviewee,interviewee,0.909244711
frame_0035,frame_0035_00,interviewee,interviewee,0.780904527
frame_0036,frame_0036_00,interviewee,interviewee,0.742386227
frame_0037,frame_0037_00,interviewee,interviewee,0.606405394
frame_0038,frame_0038_00,interviewer,interviewer,0.948294235
frame_0039,frame_0039_00,interviewee,interviewee,0.897690988
frame_0040,frame_0040_00,interviewee,interviewee,0.654135441
frame_0041,frame_0041_00,interviewee,interviewee,0.79214374
frame_0042,frame_0042_00,interviewee,interviewee,0.75783392
frame_0043,frame_0043_00,interviewee,interviewee,0.867004495
frame_0044,frame_0044_00,interviewee,interviewee,0.812793233
frame_0045,frame_0045_00,interviewee,interviewee,0.846377291
frame_0046,frame_0046_00,interviewee,interviewee,0.757744835
frame_0047,frame_0047_00,interviewee,interviewee,0.686806212
frame_0048,frame_0048_00,interviewee,interviewee,0.860523019
frame_0049,frame_0049_00,interviewee,interviewee,0.780495634
frame_0050,frame_0050_00,interviewee,interviewee,0.70264741
frame_0051,frame_0051_00,interviewee,interviewee,0.802209546
frame_0052,frame_0052_00,interviewee,interviewee,0.821162986
frame_0053,frame_0053_00,interviewee,interviewee,0.78110185
frame_0054,frame_0054_00,interviewee,interviewee,0.715966259
frame_0055,frame_0055_00,interviewee,interviewee,0.528255021
frame_0056,frame_0056_00,interviewer,interviewer,0.971000785
frame_0057,frame_0057_00,interviewer,interviewer,0.87367633
frame_0058,frame_0058_00,interviewer,interviewer,0.99456775
frame_0059,frame_0059_00,interviewer,interviewer,0.773878962
frame_0060,frame_0060_00,interviewer,interviewer,1.005949817
frame_0061,frame_0061_00,interviewer,interviewer,0.846516385
frame_0062,frame_0062_00,interviewee,interviewee,0.691628394
frame_0063,frame_0063_00,interviewee,interviewee,0.621043395
frame_0064,frame_0064_00,interviewee,interviewee,0.795215439
frame_0065,frame_0065_00,interviewee,interviewee,0.771726214
frame_0066,frame_0066_00,interviewee,interviewee,0.865703547
frame_0067,frame_0067_00,interviewee,interviewee,0.615040671
frame_0068,frame_0068_00,interviewee,interviewee,0.615390599
frame_0069,frame_0069_00,interviewee,interviewee,0.891513394
frame_0070,frame_0070_00,interviewee,interviewee,0.816643392
frame_0071,frame_0071_00,interviewer,interviewer,0.82032918
frame_0072,frame_0072_00,interviewee,interviewee,0.719746761
frame_0073,frame_0073_00,interviewee,interviewee,0.885831878
frame_0074,frame_0074_00,interviewee,interviewee,0.799208769
frame_0075,frame_0075_00,interviewee,interviewee,0.614034771
