frame_num,roi_num,person_classified,person_actual,person_score
frame_0001,frame_0001_00,interviewer,interviewer,0.974395981
frame_0002,frame_0002_00,interviewee,interviewee,0.93937973
frame_0003,frame_0003_00,interviewer,interviewer,0.949784743
frame_0003,frame_0003_01,interviewee,interviewee,0.883172257
frame_0004,frame_0004_00,interviewer,interviewer,0.943815311
frame_0004,frame_0004_01,interviewee,interviewee,0.87520522
frame_0005,frame_0005_00,interviewee,interviewee,0.723900017
frame_0006,frame_0006_00,interviewee,interviewee,0.897401278
frame_0007,frame_0007_00,interviewer,interviewer,0.960934877
frame_0008,frame_0008_00,interviewer,interviewer,0.97378535
frame_0009,frame_0009_00,interviewee,interviewee,0.873043394
frame_0009,frame_0009_01,interviewer,interviewer,0.875896892
frame_0010,frame_0010_00,interviewer,interviewer,1.069628008
frame_0011,frame_0011_00,interviewee,interviewee,0.842519671
frame_0012,frame_0012_00,interviewee,interviewee,0.799740148
frame_0013,frame_0013_00,interviewee,interviewee,0.79436441
frame_0014,frame_0014_00,interviewee,interviewee,0.89114076
frame_0015,frame_0015_00,interviewee,interviewee,0.826282242
frame_0016,frame_0016_00,interviewee,interviewee,0.907037783
frame_0017,frame_0017_00,interviewee,interviewee,0.831650318
frame_0018,frame_0018_00,interviewee,interviewee,0.757312185
frame_0019,frame_0019_00,interviewee,interviewee,0.841963026
frame_0020,frame_0020_00,interviewee,interviewee,0.866928044
frame_0021,frame_0021_00,interviewee,interviewee,0.755171497
frame_0022,frame_0022_00,interviewee,interviewee,0.919888421
frame_0023,frame_0023_00,interviewee,interviewee,0.892343479
frame_0024,frame_0024_00,interviewee,interviewee,0.870581764
frame_0025,frame_0025_00,interviewee,interviewee,0.914086403
frame_0026,frame_0026_00,interviewee,interviewee,0.950149295
frame_0027,frame_0027_00,interviewee,interviewee,0.634893522
frame_0028,frame_0028_00,interviewee,interviewee,0.742445947
frame_0029,frame_0029_00,interviewee,interviewee,0.720260888
frame_0030,frame_0030_00,interviewer,interviewer,0.964018724
frame_0030,frame_0030_01,interviewee,interviewee,0.920912599
frame_0031,frame_0031_00,interviewer,interviewer,0.935140598
frame_0032,frame_0032_00,interviewee,interviewee,0.824769639
frame_0032,frame_0032_01,interviewer,interviewer,0.974819311
frame_0033,frame_0033_00,interviewer,interviewer,0.956121889
frame_0034,frame_0034_00,interviewee,interviewee,1.004941497
frame_0035,frame_0035_00,interviewer,interviewer,1.015478026
frame_0035,frame_0035_01,interviewee,interviewee,0.904846749
frame_0036,frame_0036_00,interviewee,interviewee,0.899621811
frame_0037,frame_0037_00,interviewee,interviewee,0.933880543
frame_0038,frame_0038_00,interviewer,interviewer,1.053045515
frame_0038,frame_0038_01,interviewee,interviewee,0.677244736
frame_0039,frame_0039_00,interviewee,interviewee,0.936652581
frame_0040,frame_0040_00,interviewer,interviewer,0.982130111
frame_0041,frame_0041_00,interviewer,interviewer,0.931043535
frame_0042,frame_0042_00,interviewee,interviewee,0.632738828
frame_0043,frame_0043_00,interviewer,interviewer,1.015383984
frame_0044,frame_0044_00,interviewee,interviewee,0.837658731
frame_0045,frame_0045_00,interviewee,interviewee,0.92313691
frame_0046,frame_0046_00,interviewee,interviewee,0.752383825
frame_0047,frame_0047_00,interviewer,interviewer,1.068123101
frame_0047,frame_0047_01,interviewee,interviewee,0.854983387
frame_0048,frame_0048_00,interviewer,interviewer,1.007270353
frame_0049,frame_0049_00,interviewee,interviewee,0.754503781
frame_0050,frame_0050_00,interviewer,interviewer,0.98762006
frame_0051,frame_0051_00,interviewer,interviewer,1.04900591
frame_0052,frame_0052_00,interviewee,interviewee,0.850262843
frame_0053,frame_0053_00,interviewee,interviewee,0.945342262
frame_0054,frame_0054_00,interviewee,interviewee,0.837956451
frame_0055,frame_0055_00,interviewee,interviewee,0.870620346
frame_0056,frame_0056_00,interviewee,interviewee,0.842128203
frame_0057,frame_0057_00,interviewer,interviewer,1.043640162
frame_0057,frame_0057_01,interviewee,interviewee,0.827603399
frame_0058,frame_0058_00,interviewer,interviewer,1.063397052
frame_0059,frame_0059_00,interviewer,interviewer,1.094254324
frame_0059,frame_0059_01,interviewee,interviewee,0.994755754
frame_0060,frame_0060_00,interviewee,interviewee,0.941764354
frame_0061,frame_0061_00,interviewer,interviewer,1.029104114
frame_0062,frame_0062_00,interviewer,interviewer,1.031453792
frame_0063,frame_0063_00,unknown,interviewer,
frame_0064,frame_0064_00,interviewer,interviewer,0.947732822
frame_0064,frame_0064_01,interviewee,interviewee,0.837368875
frame_0065,frame_0065_00,interviewer,interviewer,0.981935456
frame_0065,frame_0065_01,interviewee,interviewee,0.862424864
frame_0066,frame_0066_00,interviewee,interviewee,0.835807811
frame_0067,frame_0067_00,interviewee,interviewee,0.781502785
frame_0068,frame_0068_00,interviewer,interviewer,0.987906016
frame_0068,frame_0068_01,interviewee,interviewee,0.885924924
frame_0069,frame_0069_00,interviewer,interviewer,0.917645045
frame_0069,frame_0069_01,interviewee,interviewee,0.82699963
frame_0070,frame_0070_00,interviewer,interviewer,1.044536869
frame_0071,frame_0071_00,interviewer,interviewer,0.972943433
frame_0071,frame_0071_01,interviewee,interviewee,0.908710032
frame_0072,frame_0072_00,interviewee,interviewee,0.824716456
frame_0073,frame_0073_00,interviewer,interviewer,0.984103531
frame_0073,frame_0073_01,interviewee,interviewee,0.844034653
frame_0074,frame_0074_00,interviewer,interviewer,0.935193211
frame_0074,frame_0074_01,interviewee,interviewee,0.736927579
frame_0075,frame_0075_00,interviewer,interviewer,1.037248014
frame_0075,frame_0075_01,interviewee,interviewee,0.786632956
frame_0076,frame_0076_00,interviewee,interviewee,0.869714826
frame_0077,frame_0077_00,interviewer,interviewer,0.999003482
frame_0077,frame_0077_01,interviewee,interviewee,0.761596844
frame_0078,frame_0078_00,interviewer,interviewer,1.046463258
frame_0078,frame_0078_01,interviewee,interviewee,0.894473281
frame_0079,frame_0079_00,interviewer,interviewer,0.925604247
frame_0079,frame_0079_01,interviewee,interviewee,0.885484462
frame_0080,frame_0080_00,interviewer,interviewer,1.019109491
frame_0081,frame_0081_00,interviewer,interviewer,1.081565211
frame_0081,frame_0081_01,interviewee,interviewee,0.838449383
frame_0082,frame_0082_00,interviewer,interviewer,0.911187121
frame_0082,frame_0082_01,interviewee,interviewee,0.883934736
frame_0083,frame_0083_00,interviewee,interviewee,0.809619221
frame_0083,frame_0083_01,interviewer,interviewer,1.039336057
frame_0084,frame_0084_00,interviewer,interviewer,0.996893402
frame_0084,frame_0084_01,interviewee,interviewee,0.965999233
frame_0085,frame_0085_00,interviewee,interviewee,0.894659894
frame_0085,frame_0085_01,interviewer,interviewer,0.989133303
frame_0086,frame_0086_00,interviewee,interviewee,0.836648411
frame_0087,frame_0087_00,interviewee,interviewee,0.736141847
frame_0087,frame_0087_01,interviewer,interviewer,0.996855276
frame_0088,frame_0088_00,interviewee,interviewee,0.867012331
frame_0089,frame_0089_00,interviewee,interviewee,0.841569958
frame_0090,frame_0090_00,interviewee,interviewee,0.878794647
frame_0091,frame_0091_00,interviewee,interviewee,0.690879638
frame_0092,frame_0092_00,interviewee,interviewee,0.921211926
frame_0093,frame_0093_00,interviewee,interviewee,0.745460047
frame_0094,frame_0094_00,interviewee,interviewee,0.878246229
frame_0095,frame_0095_00,interviewee,interviewee,0.866815649
frame_0096,frame_0096_00,interviewee,interviewee,0.809789657
frame_0097,frame_0097_00,interviewee,interviewee,0.72475778
frame_0098,frame_0098_00,interviewee,interviewee,0.726145595
frame_0099,frame_0099_00,interviewee,interviewee,0.793911745
frame_0100,frame_0100_00,interviewee,interviewee,0.739823994
frame_0101,frame_0101_00,interviewer,interviewer,0.990673977
frame_0101,frame_0101_01,interviewee,interviewee,0.784401318
frame_0102,frame_0102_00,interviewer,interviewer,0.95245427
frame_0102,frame_0102_01,interviewee,interviewee,0.862655745
frame_0103,frame_0103_00,interviewee,interviewee,0.94874694
frame_0103,frame_0103_01,unknown,unknown,
frame_0104,frame_0104_00,interviewee,interviewee,0.879713648
frame_0105,frame_0105_00,interviewer,interviewer,0.990982026
frame_0105,frame_0105_01,interviewee,interviewee,0.735690242
frame_0106,frame_0106_00,interviewer,interviewer,1.045340195
frame_0106,frame_0106_01,interviewee,interviewee,0.855181062
frame_0107,frame_0107_00,interviewee,interviewee,0.91704036
frame_0108,frame_0108_00,interviewee,interviewee,0.7152577
frame_0109,frame_0109_00,interviewee,interviewee,0
frame_0110,frame_0110_00,interviewee,interviewee,0.811963011
frame_0111,frame_0111_00,interviewee,interviewee,0.819261172
frame_0112,frame_0112_00,interviewee,interviewee,0.879389271
frame_0112,frame_0112_01,interviewer,interviewer,0.19166764
frame_0113,frame_0113_00,interviewer,interviewer,0.877552283
frame_0114,frame_0114_00,interviewer,interviewer,1.011133107
frame_0115,frame_0115_00,interviewer,interviewer,1.000561399
frame_0116,frame_0116_00,interviewer,interviewer,1.040403483
frame_0117,frame_0117_00,interviewer,interviewer,0.999905817
frame_0117,frame_0117_01,interviewee,interviewee,0.976088106
frame_0118,frame_0118_00,interviewee,interviewee,0.878900406
frame_0119,frame_0119_00,interviewee,interviewee,0.777233549
frame_0120,frame_0120_00,interviewee,interviewee,0.876466318
frame_0121,frame_0121_00,interviewer,interviewer,0.998312529
frame_0121,frame_0121_01,interviewee,interviewee,0.718265177
frame_0122,frame_0122_00,interviewee,interviewee,0.961568452
frame_0123,frame_0123_00,interviewee,interviewee,0.690086652
frame_0124,frame_0124_00,interviewee,interviewee,0.910761846
frame_0125,frame_0125_00,interviewee,interviewee,0.760332515
frame_0126,frame_0126_00,interviewee,interviewee,0.873743669
frame_0127,frame_0127_00,interviewee,interviewee,0.874783367
frame_0128,frame_0128_00,interviewee,interviewee,1.027736251
frame_0128,frame_0128_01,interviewer,interviewer,0.952755643
