frame_num,roi_num,person_classified,person_actual,person_score
frame_0001,frame_0001_00,interviewer,interviewer,0.828600986
frame_0002,frame_0002_00,interviewee,interviewee,0.615367994
frame_0003,frame_0003_00,interviewer,interviewer,1.090927696
frame_0003,frame_0003_01,interviewee,interviewee,0.676765237
frame_0004,frame_0004_00,interviewer,interviewer,0.794248324
frame_0004,frame_0004_01,interviewee,interviewee,0.626791631
frame_0005,frame_0005_00,interviewee,interviewee,0.562238349
frame_0006,frame_0006_00,interviewee,interviewee,0.597991154
frame_0007,frame_0007_00,interviewer,interviewer,0.889035733
frame_0008,frame_0008_00,interviewer,interviewer,0.977634816
frame_0009,frame_0009_00,interviewee,interviewee,0.720627511
frame_0009,frame_0009_01,interviewer,interviewer,0.861858536
frame_0010,frame_0010_00,interviewer,interviewer,0.898020949
frame_0011,frame_0011_00,interviewee,interviewee,0.619358466
frame_0012,frame_0012_00,interviewee,interviewee,0.616662124
frame_0013,frame_0013_00,interviewee,interviewee,0.588717223
frame_0014,frame_0014_00,interviewee,interviewee,0.666065125
frame_0015,frame_0015_00,interviewee,interviewee,0.673891452
frame_0016,frame_0016_00,interviewee,interviewee,0.633692843
frame_0017,frame_0017_00,interviewee,interviewee,0.666404079
frame_0018,frame_0018_00,interviewee,interviewee,0.568613747
frame_0019,frame_0019_00,interviewee,interviewee,0.63879227
frame_0020,frame_0020_00,interviewee,interviewee,0.53953793
frame_0021,frame_0021_00,interviewee,interviewee,0.56166501
frame_0022,frame_0022_00,interviewee,interviewee,0.660538513
frame_0023,frame_0023_00,interviewee,interviewee,0.632630321
frame_0024,frame_0024_00,interviewee,interviewee,0.655429102
frame_0025,frame_0025_00,interviewee,interviewee,0.65038253
frame_0026,frame_0026_00,interviewee,interviewee,0.623560093
frame_0027,frame_0027_00,interviewee,interviewee,0.533955698
frame_0028,frame_0028_00,interviewee,interviewee,0.49757657
frame_0029,frame_0029_00,interviewee,interviewee,0.554226069
frame_0030,frame_0030_00,interviewer,interviewer,0.903081622
frame_0030,frame_0030_01,interviewee,interviewee,0.645292284
frame_0031,frame_0031_00,interviewer,interviewer,0.821503902
frame_0032,frame_0032_00,interviewee,interviewee,0.510141615
frame_0032,frame_0032_01,interviewer,interviewer,0.770533731
frame_0033,frame_0033_00,interviewer,interviewer,0.786329201
frame_0034,frame_0034_00,interviewee,interviewee,0.639396949
frame_0035,frame_0035_00,interviewer,interviewer,0.928245232
frame_0035,frame_0035_01,interviewee,interviewee,0.687211924
frame_0036,frame_0036_00,interviewee,interviewee,0.549909108
frame_0037,frame_0037_00,interviewee,interviewee,0.603085666
frame_0038,frame_0038_00,interviewer,interviewer,0.839310601
frame_0038,frame_0038_01,interviewee,interviewee,0.623049686
frame_0039,frame_0039_00,interviewee,interviewee,0.689489
frame_0040,frame_0040_00,interviewer,interviewer,1.027205442
frame_0041,frame_0041_00,interviewer,interviewer,0.727399194
frame_0042,frame_0042_00,interviewee,interviewee,0.50058273
frame_0043,frame_0043_00,interviewer,interviewer,0.866285057
frame_0044,frame_0044_00,interviewee,interviewee,0.57615819
frame_0045,frame_0045_00,interviewee,interviewee,0.612903173
frame_0046,frame_0046_00,interviewee,interviewee,0.531007722
frame_0047,frame_0047_00,interviewer,interviewer,0.827861423
frame_0047,frame_0047_01,interviewee,interviewee,0.560721452
frame_0048,frame_0048_00,interviewer,interviewer,0.857099844
frame_0049,frame_0049_00,interviewee,interviewee,0.537497287
frame_0050,frame_0050_00,interviewer,interviewer,0.897782518
frame_0051,frame_0051_00,interviewer,interviewer,1.077028991
frame_0052,frame_0052_00,interviewee,interviewee,0.561329123
frame_0053,frame_0053_00,interviewee,interviewee,0.834802037
frame_0054,frame_0054_00,interviewee,interviewee,0.540710595
frame_0055,frame_0055_00,interviewee,interviewee,0.601588282
frame_0056,frame_0056_00,interviewee,interviewee,0.675485507
frame_0057,frame_0057_00,interviewer,interviewer,1.075450626
frame_0057,frame_0057_01,interviewee,interviewee,0.631958742
frame_0058,frame_0058_00,interviewer,interviewer,1.100292136
frame_0059,frame_0059_00,interviewer,interviewer,0.812881505
frame_0059,frame_0059_01,interviewee,interviewee,0.49710925
frame_0060,frame_0060_00,interviewee,interviewee,0.631191643
frame_0061,frame_0061_00,interviewer,interviewer,0.962138294
frame_0062,frame_0062_00,interviewer,interviewer,1.113591236
frame_0063,frame_0063_00,unknown,interviewer,
frame_0064,frame_0064_00,interviewer,interviewer,0.790138152
frame_0064,frame_0064_01,interviewee,interviewee,0.609962146
frame_0065,frame_0065_00,interviewer,interviewer,0.886598052
frame_0065,frame_0065_01,interviewee,interviewee,0.589266347
frame_0066,frame_0066_00,interviewee,interviewee,0.579657553
frame_0067,frame_0067_00,interviewee,interviewee,0.551603656
frame_0068,frame_0068_00,interviewer,interviewer,0.93431585
frame_0068,frame_0068_01,interviewee,interviewee,0.610585208
frame_0069,frame_0069_00,interviewer,interviewer,0.817536226
frame_0069,frame_0069_01,interviewee,interviewee,0.520895113
frame_0070,frame_0070_00,interviewer,interviewer,0.904961445
frame_0071,frame_0071_00,interviewer,interviewer,0.737629641
frame_0071,frame_0071_01,interviewee,interviewee,0.525087766
frame_0072,frame_0072_00,interviewee,interviewee,0.631639333
frame_0073,frame_0073_00,interviewer,interviewer,0.845934146
frame_0073,frame_0073_01,interviewee,interviewee,0.616035706
frame_0074,frame_0074_00,interviewer,interviewer,0.933782255
frame_0074,frame_0074_01,interviewee,interviewee,0.584614
frame_0075,frame_0075_00,interviewer,interviewer,0.828439696
frame_0075,frame_0075_01,interviewee,interviewee,0.502047419
frame_0076,frame_0076_00,interviewee,interviewee,0.514574853
frame_0077,frame_0077_00,interviewer,interviewer,0.918000099
frame_0077,frame_0077_01,interviewee,interviewee,0.488505214
frame_0078,frame_0078_00,interviewer,interviewer,0.79446768
frame_0078,frame_0078_01,interviewee,interviewee,0.661443923
frame_0079,frame_0079_00,interviewer,interviewer,0.801282903
frame_0079,frame_0079_01,interviewee,interviewee,0.617943916
frame_0080,frame_0080_00,interviewer,interviewer,0.944139562
frame_0081,frame_0081_00,interviewer,interviewer,0.752453305
frame_0081,frame_0081_01,interviewee,interviewee,0.53923417
frame_0082,frame_0082_00,interviewer,interviewer,0.812483354
frame_0082,frame_0082_01,interviewee,interviewee,0.581346717
frame_0083,frame_0083_00,interviewee,interviewee,0.64038048
frame_0083,frame_0083_01,interviewer,interviewer,0.661336252
frame_0084,frame_0084_00,interviewer,interviewer,1.009892067
frame_0084,frame_0084_01,interviewee,interviewee,0.635981564
frame_0085,frame_0085_00,interviewee,interviewee,0.721604246
frame_0085,frame_0085_01,interviewer,interviewer,1.042081233
frame_0086,frame_0086_00,interviewee,interviewee,0.589388392
frame_0087,frame_0087_00,interviewee,interviewee,0.649821462
frame_0087,frame_0087_01,interviewer,interviewer,0.891235852
frame_0088,frame_0088_00,interviewee,interviewee,0.544340249
frame_0089,frame_0089_00,interviewee,interviewee,0.574538236
frame_0090,frame_0090_00,interviewee,interviewee,0.622818824
frame_0091,frame_0091_00,interviewee,interviewee,0.476600984
frame_0092,frame_0092_00,interviewee,interviewee,0.707504174
frame_0093,frame_0093_00,interviewee,interviewee,0.545853727
frame_0094,frame_0094_00,interviewee,interviewee,0.488801382
frame_0095,frame_0095_00,interviewee,interviewee,0.53648123
frame_0096,frame_0096_00,interviewee,interviewee,0.577652843
frame_0097,frame_0097_00,interviewee,interviewee,0.547984985
frame_0098,frame_0098_00,interviewee,interviewee,0.520766817
frame_0099,frame_0099_00,interviewee,interviewee,0.647493378
frame_0100,frame_0100_00,interviewee,interviewee,0.527506366
frame_0101,frame_0101_00,interviewer,interviewer,0.830633981
frame_0101,frame_0101_01,interviewee,interviewee,0.542075729
frame_0102,frame_0102_00,interviewer,interviewer,0.74523244
frame_0102,frame_0102_01,interviewee,interviewee,0.696895765
frame_0103,frame_0103_00,interviewee,interviewee,0.652266898
frame_0103,frame_0103_01,unknown,unknown,
frame_0104,frame_0104_00,interviewee,interviewee,0.579208832
frame_0105,frame_0105_00,interviewer,interviewer,0.992354234
frame_0105,frame_0105_01,interviewee,interviewee,0.523526039
frame_0106,frame_0106_00,interviewer,interviewer,1.041932489
frame_0106,frame_0106_01,interviewee,interviewee,0.584300813
frame_0107,frame_0107_00,interviewee,interviewee,0.695469818
frame_0108,frame_0108_00,interviewee,interviewee,0.524517613
frame_0109,frame_0109_00,interviewee,interviewee,0
frame_0110,frame_0110_00,interviewee,interviewee,0.596968991
frame_0111,frame_0111_00,interviewee,interviewee,0.611302031
frame_0112,frame_0112_00,interviewee,interviewee,0.578404653
frame_0112,frame_0112_01,interviewer,interviewer,0.793676012
frame_0113,frame_0113_00,interviewer,interviewer,0.719495043
frame_0114,frame_0114_00,interviewer,interviewer,0.838035164
frame_0115,frame_0115_00,interviewer,interviewer,0.681324197
frame_0116,frame_0116_00,interviewer,interviewer,0.848497903
frame_0117,frame_0117_00,interviewer,interviewer,0.756244097
frame_0117,frame_0117_01,interviewee,interviewee,0.654088151
frame_0118,frame_0118_00,interviewee,interviewee,0.628004138
frame_0119,frame_0119_00,interviewee,interviewee,0.517166267
frame_0120,frame_0120_00,interviewee,interviewee,0.460624077
frame_0121,frame_0121_00,interviewer,interviewer,0.840257686
frame_0121,frame_0121_01,interviewee,interviewee,0.412300168
frame_0122,frame_0122_00,interviewee,interviewee,0.746794778
frame_0123,frame_0123_00,interviewee,interviewee,0.601050552
frame_0124,frame_0124_00,interviewee,interviewee,0.658070655
frame_0125,frame_0125_00,interviewee,interviewee,0.620450359
frame_0126,frame_0126_00,interviewee,interviewee,0.630757851
frame_0127,frame_0127_00,interviewee,interviewee,0.581403577
frame_0128,frame_0128_00,interviewee,interviewee,0.618062502
frame_0128,frame_0128_01,interviewer,interviewer,0.787217509
frame_0129,frame_0129_00,interviewee,interviewee,0.551893922
frame_0130,frame_0130_00,interviewee,interviewee,0.46501061
frame_0131,frame_0131_00,interviewee,interviewee,0.688923152
frame_0131,frame_0131_01,interviewer,interviewer,0.813838676
frame_0132,frame_0132_00,interviewee,interviewee,0.556695048
frame_0133,frame_0133_00,interviewer,interviewer,0.75488909
frame_0133,frame_0133_01,interviewee,interviewee,0.583907348
frame_0134,frame_0134_00,interviewer,interviewer,1.04716192
frame_0134,frame_0134_01,interviewee,interviewee,0.578287151
frame_0135,frame_0135_00,interviewee,interviewee,0.520636179
frame_0136,frame_0136_00,interviewee,interviewee,0.634146079
frame_0137,frame_0137_00,interviewee,interviewee,0.564527921
frame_0137,frame_0137_01,interviewer,interviewer,1.010387412
frame_0138,frame_0138_00,interviewee,interviewee,0.61452453
frame_0139,frame_0139_00,interviewee,interviewee,0.595809874
frame_0140,frame_0140_00,interviewee,interviewee,0.469767213
frame_0140,frame_0140_01,interviewer,interviewer,0.859721041
frame_0141,frame_0141_00,interviewer,interviewer,0.867400644
frame_0141,frame_0141_01,interviewee,interviewee,0.541663364
frame_0142,frame_0142_00,interviewer,interviewer,0.949664993
frame_0142,frame_0142_01,interviewee,interviewee,0.642849874
frame_0143,frame_0143_00,interviewee,interviewee,0.566027202
frame_0144,frame_0144_00,interviewee,interviewee,0.625086538
frame_0145,frame_0145_00,interviewee,interviewee,0.66797285
frame_0146,frame_0146_00,interviewee,interviewee,0.568158911
frame_0147,frame_0147_00,interviewer,interviewer,0.995123982
frame_0147,frame_0147_01,interviewee,interviewee,0.497416319
frame_0148,frame_0148_00,interviewee,interviewee,0.46878182
frame_0149,frame_0149_00,interviewer,interviewer,0.841411301
frame_0149,frame_0149_01,interviewee,interviewee,0.695812888
frame_0150,frame_0150_00,interviewer,interviewer,0.897030117
frame_0150,frame_0150_01,interviewee,interviewee,0.468341564
frame_0151,frame_0151_00,interviewer,interviewer,0.811978574
frame_0151,frame_0151_01,interviewee,interviewee,0.642479891
frame_0152,frame_0152_00,interviewee,interviewee,0.647855031
frame_0153,frame_0153_00,interviewee,interviewee,0.567923921
frame_0154,frame_0154_00,interviewee,interviewee,0.600423176
frame_0155,frame_0155_00,interviewee,interviewee,0.597875222
frame_0156,frame_0156_00,interviewee,interviewee,0.541177697
