frame_num,roi_num,person_classified,person_actual,person_score
frame_0006,frame_0006_00,interviewee,interviewee,0.848379029
frame_0007,frame_0007_00,interviewer,interviewer,1.054517531
frame_0008,frame_0008_00,interviewer,interviewer,1.012966702
frame_0009,frame_0009_00,interviewee,interviewee,0.722088687
frame_0010,frame_0010_00,interviewee,interviewee,0.745390917
frame_0011,frame_0011_00,interviewer,interviewer,1.047872789
frame_0011,frame_0011_01,interviewee,interviewee,0
frame_0012,frame_0012_00,interviewer,interviewer,1.047749261
frame_0013,frame_0013_00,interviewee,interviewee,0.905968504
frame_0014,frame_0014_00,interviewee,interviewee,0.614613618
frame_0015,frame_0015_00,interviewee,interviewee,0.786917592
frame_0016,frame_0016_00,interviewer,interviewer,0.928661929
frame_0017,frame_0017_00,interviewee,interviewee,0.799497251
frame_0018,frame_0018_00,interviewer,interviewer,0.991196854
frame_0019,frame_0019_00,interviewee,interviewee,0.670796681
frame_0020,frame_0020_00,interviewee,interviewee,0.607060877
frame_0021,frame_0021_00,interviewee,interviewee,0.630268882
frame_0022,frame_0022_00,interviewer,interviewer,0.875242219
frame_0022,frame_0022_01,interviewee,interviewee,0.626576987
frame_0023,frame_0023_00,interviewee,interviewee,0.528308966
frame_0024,frame_0024_00,interviewee,interviewee,0.78478096
frame_0025,frame_0025_00,interviewer,interviewer,1.057713248
frame_0026,frame_0026_00,interviewer,interviewer,0.97176368
frame_0027,frame_0027_00,interviewee,interviewee,0.760689848
frame_0028,frame_0028_00,interviewee,interviewee,0.728274201
frame_0029,frame_0029_00,interviewer,interviewer,1.072406206
frame_0030,frame_0030_00,interviewer,interviewer,0.967169038
frame_0031,frame_0031_00,interviewer,interviewer,1.086528232
frame_0032,frame_0032_00,interviewer,interviewer,0.974159397
frame_0033,frame_0033_00,interviewee,interviewee,0.638953682
frame_0034,frame_0034_00,interviewer,interviewer,0.967370141
frame_0034,frame_0034_01,interviewee,interviewee,0.755516117
frame_0035,frame_0035_00,interviewer,interviewer,0.970897009
frame_0035,frame_0035_01,interviewee,interviewee,0.675631214
frame_0036,frame_0036_00,interviewee,interviewee,0.78849261
frame_0037,frame_0037_00,interviewee,interviewee,0.974836805
frame_0038,frame_0038_00,interviewer,interviewer,1.091144846
frame_0039,frame_0039_00,interviewer,interviewer,1.004017388
frame_0040,frame_0040_00,interviewer,interviewer,1.089726463
frame_0041,frame_0041_00,interviewer,interviewer,0.978106863
