frame_num,roi_num,person_classified,person_actual,person_score
frame_0001,frame_0001_00,interviewer,interviewer,0.575343375
frame_0002,frame_0002_00,interviewee,interviewee,0.620614015
frame_0003,frame_0003_00,interviewee,interviewee,0.606803163
frame_0004,frame_0004_00,interviewee,interviewee,0.830629543
frame_0005,frame_0005_00,interviewee,interviewee,0.777379021
frame_0005,frame_0005_01,unknown,interviewer,
frame_0006,frame_0006_00,interviewer,interviewer,0.660355509
frame_0007,frame_0007_00,interviewer,interviewer,0.577099203
frame_0008,frame_0008_00,interviewer,interviewer,0.597383279
frame_0009,frame_0009_00,interviewee,interviewee,0.576554441
frame_0010,frame_0010_00,interviewer,interviewer,0.606347889
frame_0011,frame_0011_00,interviewer,interviewer,0.703747566
frame_0011,frame_0011_01,unknown,interviewee,
frame_0012,frame_0012_00,interviewer,interviewer,0.716496756
frame_0013,frame_0013_00,interviewer,interviewer,0.725346089
frame_0014,frame_0014_00,interviewer,interviewer,0.667847195
frame_0015,frame_0015_00,interviewer,interviewer,0.539455277
frame_0016,frame_0016_00,interviewer,interviewer,0.538285225
frame_0017,frame_0017_00,interviewer,interviewer,0.488343587
frame_0018,frame_0018_00,interviewer,interviewer,0.657266375
frame_0019,frame_0019_00,interviewer,interviewer,0.745567883
frame_0019,frame_0019_01,unknown,interviewee,
frame_0020,frame_0020_00,interviewee,interviewer,0.717684313
frame_0020,frame_0020_01,interviewer,interviewee,0.714819692
frame_0021,frame_0021_00,interviewer,interviewer,0.638286438
frame_0022,frame_0022_00,interviewee,interviewee,0.749257935
frame_0023,frame_0023_00,interviewee,interviewer,0.870736469
frame_0024,frame_0024_00,interviewee,interviewee,1.026509322
frame_0024,frame_0024_01,interviewer,interviewer,1.060807633
frame_0025,frame_0025_00,interviewee,interviewee,0.899405218
frame_0025,frame_0025_01,interviewer,interviewer,0.725944351
frame_0026,frame_0026_00,interviewer,interviewer,0.576979514
frame_0027,frame_0027_00,interviewee,interviewee,0.912228574
frame_0028,frame_0028_00,interviewer,interviewer,0.668082697
frame_0029,frame_0029_00,interviewee,interviewee,0.532045223
frame_0030,frame_0030_00,interviewee,interviewee,0.613485362
frame_0031,frame_0031_00,interviewee,interviewee,0.674952054
frame_0032,frame_0032_00,interviewee,interviewee,0.749354796
frame_0033,frame_0033_00,interviewee,interviewee,0.719558825
frame_0034,frame_0034_00,interviewer,interviewer,0.675025578
frame_0035,frame_0035_00,interviewee,interviewee,0.840043649
frame_0036,frame_0036_00,interviewer,interviewer,0.560231004
frame_0037,frame_0037_00,interviewer,interviewer,0.691850247
frame_0038,frame_0038_00,interviewee,interviewee,0.577287311
frame_0039,frame_0039_00,interviewer,interviewer,0.680621727
frame_0040,frame_0040_00,interviewer,interviewer,0.479422684
frame_0041,frame_0041_00,interviewee,interviewee,0.58276082
frame_0042,frame_0042_00,interviewee,interviewee,0.595471095
frame_0043,frame_0043_00,interviewee,interviewee,0.719575293
frame_0044,frame_0044_00,interviewer,interviewer,0.577363232
frame_0045,frame_0045_00,interviewee,interviewee,0.816609548
frame_0046,frame_0046_00,interviewee,interviewee,0.655268358
frame_0047,frame_0047_00,interviewee,interviewee,0.771612459
frame_0048,frame_0048_00,interviewee,interviewee,0.492802751
frame_0049,frame_0049_00,interviewee,interviewee,0.71280724
frame_0050,frame_0050_00,interviewee,interviewee,0.704661986
frame_0051,frame_0051_00,interviewer,interviewer,0.646816641
frame_0052,frame_0052_00,interviewer,interviewer,0.667684856
frame_0053,frame_0053_00,interviewer,interviewer,0.570978683
frame_0054,frame_0054_00,interviewer,interviewer,0.736575372
frame_0055,frame_0055_00,interviewer,interviewer,0.521201643
frame_0056,frame_0056_00,interviewee,interviewee,0.862384642
frame_0057,frame_0057_00,interviewer,interviewer,0.654029702
frame_0058,frame_0058_00,interviewer,interviewer,0.689429713
frame_0059,frame_0059_00,interviewer,interviewer,0.645995434
frame_0060,frame_0060_00,interviewer,interviewer,0.62723249
frame_0061,frame_0061_00,unknown,interviewee,
frame_0061,frame_0061_01,interviewer,interviewer,0.780795648
frame_0062,frame_0062_00,interviewee,interviewee,1.101221075
frame_0062,frame_0062_01,interviewer,interviewer,0.788959372
frame_0063,frame_0063_00,interviewer,interviewer,0.844101078
frame_0064,frame_0064_00,interviewee,interviewee,0.829377406
frame_0064,frame_0064_01,interviewer,interviewer,0.662421067
frame_0065,frame_0065_00,interviewee,interviewee,0.704340512
frame_0066,frame_0066_00,interviewer,interviewer,0.777284488
frame_0067,frame_0067_00,interviewee,interviewee,1.009142388
frame_0067,frame_0067_01,interviewer,interviewer,0.640725575
