frame_num,roi_num,person_classified,person_actual,person_score
frame_0002,frame_0002_00,interviewee,interviewee,0.810341668
frame_0003,frame_0003_00,interviewee,interviewee,0.864691625
frame_0004,frame_0004_00,interviewer,interviewer,0.911694997
frame_0004,frame_0004_01,interviewee,interviewee,0.767287011
frame_0005,frame_0005_00,interviewer,interviewer,0.832356925
frame_0005,frame_0005_01,interviewee,interviewee,0.645183083
frame_0006,frame_0006_00,interviewer,interviewer,0.968735061
frame_0006,frame_0006_01,interviewee,interviewee,0.888017489
frame_0007,frame_0007_00,interviewer,interviewer,0.787737445
frame_0007,frame_0007_01,interviewee,interviewee,1.021751806
frame_0008,frame_0008_00,interviewee,interviewee,0.763525985
frame_0008,frame_0008_01,interviewer,interviewer,0.806436718
frame_0009,frame_0009_00,interviewee,interviewee,0.759800509
frame_0010,frame_0010_00,interviewee,interviewee,0.677007775
frame_0011,frame_0011_00,interviewee,interviewee,0.776628737
frame_0012,frame_0012_00,interviewee,interviewee,0.75796046
frame_0013,frame_0013_00,interviewee,interviewee,0.604389778
frame_0014,frame_0014_00,interviewee,interviewee,0.856671448
frame_0015,frame_0015_00,interviewee,interviewee,0.658252214
frame_0016,frame_0016_00,interviewee,interviewee,0.542603885
frame_0017,frame_0017_00,interviewer,interviewer,0.740474449
frame_0018,frame_0018_00,interviewer,interviewer,0.820977397
frame_0018,frame_0018_01,interviewee,interviewee,0.727793191
frame_0019,frame_0019_00,interviewer,interviewer,0.945608989
frame_0019,frame_0019_01,interviewee,interviewee,1.041466015
frame_0020,frame_0020_00,interviewee,interviewee,0.706808162
frame_0020,frame_0020_01,interviewer,interviewer,0.861685848
frame_0021,frame_0021_00,interviewer,interviewer,0.898085294
frame_0021,frame_0021_01,interviewee,interviewee,0.673162839
frame_0022,frame_0022_00,interviewer,interviewer,0.879490466
frame_0022,frame_0022_01,interviewee,interviewee,0.811118306
frame_0023,frame_0023_00,interviewer,interviewer,0.898247523
frame_0023,frame_0023_01,interviewee,interviewee,0.989674043
frame_0024,frame_0024_00,interviewer,interviewer,0.928696032
frame_0024,frame_0024_01,interviewee,interviewee,1.008793046
frame_0025,frame_0025_00,interviewer,interviewer,0.843713973
frame_0026,frame_0026_00,interviewer,interviewer,0.885758941
frame_0027,frame_0027_00,interviewee,interviewee,0.57433891
frame_0028,frame_0028_00,interviewee,interviewee,0.772972715
frame_0029,frame_0029_00,interviewer,interviewer,0.85449799
frame_0029,frame_0029_01,interviewee,interviewee,0.584582287
frame_0030,frame_0030_00,interviewee,interviewee,0.619554458
frame_0031,frame_0031_00,interviewer,interviewer,0.845963379
frame_0032,frame_0032_00,interviewee,interviewee,0.733517164
frame_0033,frame_0033_00,interviewee,interviewee,0.658615858
frame_0034,frame_0034_00,interviewee,interviewee,0.715174038
frame_0035,frame_0035_00,interviewee,interviewee,0.808508168
frame_0036,frame_0036_00,interviewee,interviewee,0.879018075
frame_0037,frame_0037_00,interviewee,interviewee,0.829346011
frame_0038,frame_0038_00,interviewee,interviewee,0.563880094
frame_0039,frame_0039_00,interviewee,interviewee,0.837943093
frame_0040,frame_0040_00,interviewee,interviewee,0.689428239
frame_0041,frame_0041_00,interviewee,interviewee,0.710520441
frame_0042,frame_0042_00,interviewer,interviewer,0.77908441
frame_0043,frame_0043_00,interviewee,interviewee,0.612292122
frame_0044,frame_0044_00,interviewee,interviewee,0.606693187
frame_0045,frame_0045_00,interviewee,interviewee,0.9423698
frame_0046,frame_0046_00,interviewee,interviewee,0.660722237
frame_0047,frame_0047_00,interviewee,interviewee,0.854723726
frame_0048,frame_0048_00,interviewer,interviewer,0.767248876
frame_0049,frame_0049_00,interviewee,interviewee,0.893834678
frame_0050,frame_0050_00,interviewee,interviewee,1.006905944
frame_0051,frame_0051_00,interviewee,interviewee,0.711447435
frame_0052,frame_0052_00,interviewee,interviewee,0.587298924
frame_0053,frame_0053_00,interviewee,interviewee,0.726621427
frame_0054,frame_0054_00,interviewer,interviewer,0.977005703
frame_0054,frame_0054_01,interviewee,interviewee,0.688085923
frame_0055,frame_0055_00,interviewee,interviewee,0.765497776
frame_0056,frame_0056_00,interviewee,interviewee,0.628111357
frame_0057,frame_0057_00,interviewee,interviewee,0.860703058
frame_0058,frame_0058_00,interviewee,interviewee,0.847582284
frame_0059,frame_0059_00,interviewee,interviewee,0.646311168
frame_0060,frame_0060_00,interviewee,interviewee,0.686261493
frame_0061,frame_0061_00,interviewer,interviewer,0.655080302
frame_0062,frame_0062_00,interviewer,interviewer,0.702480227
frame_0062,frame_0062_01,interviewee,interviewee,0.869598044
frame_0063,frame_0063_00,interviewee,interviewee,0.792310117
frame_0064,frame_0064_00,interviewee,interviewee,0.683934006
frame_0065,frame_0065_00,interviewee,interviewee,0.714425898
frame_0066,frame_0066_00,interviewee,interviewee,0.788698683
frame_0067,frame_0067_00,interviewee,interviewee,0.751933076
frame_0068,frame_0068_00,interviewer,interviewer,1.015559709
frame_0069,frame_0069_00,interviewee,interviewee,0.684519297
frame_0070,frame_0070_00,interviewee,interviewee,0.82515932
frame_0071,frame_0071_00,interviewee,interviewee,0.684985732
frame_0072,frame_0072_00,interviewee,interviewee,1.029340303
frame_0073,frame_0073_00,interviewee,interviewee,0.784317955
frame_0074,frame_0074_00,interviewee,interviewee,0.670421607
frame_0075,frame_0075_00,interviewee,interviewee,0.844525764
